rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7ncPjJBktLEOpstY5JOUMK","King Gnu","一途","Sony Music Labels Inc.",1,5,3,"1880326"
2,"spotify:track:2sf18cEv463VgqmdjDsFpw","Yuuri","ベテルギウス","Sony Music Labels Inc.",1,1,8,"1760838"
3,"spotify:track:7dH0dpi751EoguDDg3xx6J","Yuuri","ドライフラワー","Sony Music Labels Inc.",1,2,61,"1635711"
4,"spotify:track:2PFzK3kMDDYKhGnugvNYf1","Macaroni Empitsu","なんでもないよ、","Toy's Factory",3,4,8,"1471957"
5,"spotify:track:7v8wKvNQQIxkugCFFjrkaO","Aimer","残響散歌","Sony Music Labels Inc.",3,3,4,"1471687"
6,"spotify:track:5m1i6hq7dmRlp3c1utE48L","back number","水平線","Universal Music LLC",1,6,20,"1393398"
7,"spotify:track:6ZiEWet0uFRwWBCEKCQ8rY","King Gnu","逆夢","Sony Music Labels Inc.",7,-1,1,"1342105"
8,"spotify:track:5QDLhrAOJJdNAmCTJ8xMyW","BTS","Dynamite","BIGHIT MUSIC",1,8,71,"1260413"
9,"spotify:track:0XZyF9lv6diMt4bxThOL0h","Awesome City Club","勿忘","cutting edge",4,16,48,"1204990"
10,"spotify:track:6cvKfEw8rDcmXBslqSEC9G","Aimyon","ハート","WM Japan",10,12,10,"1203877"
11,"spotify:track:6MCjmGYlw6mQVWRFVgBRvB","YOASOBI","夜に駆ける","YOASOBI",1,10,94,"1193918"
12,"spotify:track:6wDntdm888mDo458RaYjGl","Official HIGE DANdism","Cry Baby","IRORI Records",4,11,34,"1190826"
13,"spotify:track:3ciqhcLmXP4hVGBD98QlEj","Fujii Kaze","きらり","Universal Music LLC",4,17,35,"1178892"
14,"spotify:track:3PK5ERLCyMuQ5Cb89GbZVL","Takaya Kawasaki","魔法の絨毯","Warner Music D.N.A.",13,26,67,"1153472"
15,"spotify:track:1zd35Y44Blc1CwwVbW3Qnk","YOASOBI","群青","YOASOBI",6,15,70,"1148317"
